payloadSize,concurrency,goStdlibRps,oracleJdkJvmRps,oracleJdkLeydenAotRps,oracleJdkJvmVsGoPct,oracleJdkLeydenAotVsGoPct
7,1,5259.26,5266.69,5633.15,100.1,107.1
7,6,24841.14,24644.31,24681.14,99.2,99.4
7,12,34396.35,38422.57,41191.82,111.7,119.8
7,24,47383.90,67338.05,57763.14,142.1,121.9
7,48,60575.39,99108.48,94174.74,163.6,155.5
7,96,74934.82,108557.71,112391.83,144.9,150.0
7,192,79219.53,108129.21,128695.66,136.5,162.5
128,1,4636.45,5543.36,4685.43,119.6,101.1
128,6,21548.00,26553.94,25022.97,123.2,116.1
128,12,36352.87,40078.04,40539.61,110.2,111.5
128,24,37874.38,58695.14,64074.12,155.0,169.2
128,48,54469.24,85320.35,78253.00,156.6,143.7
128,96,66891.71,102420.96,98597.26,153.1,147.4
128,192,62032.61,106659.85,119545.23,171.9,192.7
2048,1,3908.26,22.38,22.41,0.6,0.6
2048,6,11351.81,133.99,134.34,1.2,1.2
2048,12,12715.06,266.14,266.22,2.1,2.1
2048,24,10901.69,534.32,537.65,4.9,4.9
2048,48,14640.79,1069.64,1064.43,7.3,7.3
2048,96,21832.66,2128.81,2136.61,9.8,9.8
2048,192,20104.75,4221.50,4230.56,21.0,21.0
